user,Text
chiqeeeaprieta,RT @_tweetsbysal: FRIENDS THAT UNDERSTAND YOUR ANTi-SOCIAL PHASE AND DONT TAKE THEM PERSONALLY &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;
BoggioKristel,RT @luchaalmada: La jornada democrática que vivimos ayer tiene un sólo ganador: la paz social. Agradezco al sistema de medios públicos y a…
projectshowdown,@CapsRedriguez All the gays I know/see on social media posting pics from Puerto Vallarta are of crowded bars and po… https://t.co/JzDjmJ2bjX
KadieGlenn,"One of the questions I've been asked the most in my DM's is how to deal with comparison, especially in the day of social media."
Shelly_224_,RT @_tweetsbysal: FRIENDS THAT UNDERSTAND YOUR ANTi-SOCIAL PHASE AND DONT TAKE THEM PERSONALLY &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;
mdjonline,KENNESAW — Mayor Derek Easterling and city staff celebrated the season by streaming on social media the lighting of… https://t.co/WQErtMcm80
Reggiee__,RT @1100hutty_: Ppl really be cappin sooo hard on social media and I do not understand it
Armin52741082,"@FrepapBancada Entonces pongan a debate y aprueben el PM 5998, ley de nombramiento excepcional para docentes de IES… https://t.co/6qvreck7q8"
Alberto21333126,"@latimes ""Governor"" Newsome and his dinner posse showed their belief for the mask/social distancing concepts."
alyssa_ice_,RT @earringdealer: I’m officially at the point where I could be watching a old ass music video from like 2013 and think to myself “why tf t…
stewedik,"RT @delucca: O país afundado na maior crise de saúde pública (e em breve econômica e social), beirando os 180 mil mortos por coronavírus, e…"
UciChris,"RT @UCI_IDScience: ""Social media must prepare for flood of Covid-19 vaccine misinformation"" https://t.co/k09LJnDYCw"
PedroDonato20,@_andrebeda_ Toda social ou bagulho parecido hoje em dia é mais ou menos 30 conto ou mais
louiiiiiseeee,RT @_tweetsbysal: FRIENDS THAT UNDERSTAND YOUR ANTi-SOCIAL PHASE AND DONT TAKE THEM PERSONALLY &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;
thr_tiago,"RT @delucca: O país afundado na maior crise de saúde pública (e em breve econômica e social), beirando os 180 mil mortos por coronavírus, e…"
ceceeramirezz,RT @AdelinaCabezas: i’d lose all my social media’s just to be happy w the right person
lyla_jenine,"RT @LorentzMathias: ""Pour écraser les #GiletsJaunes""🤔
 
@francepolice, merci d’avoir enfin avoué cette violence systématique contre les #GJ…"
TAKEOFFMYSKIN,"taking a break from social media, i just cant anymore"
Trump66611,https://t.co/Irc51O7SNM
AceTheArtist973,RT @slimelord793: You gotta keep the ppl guessing y’all let social media in ya life to much
Francis_kon,"Lo apoyo Adrián por ser tan trabajador y por su experiencia, es la mejor opción para gobernar porque ha hecho grand… https://t.co/HWCVfoNikr"
KalaMana,The 5 Types of Social Media and Pros &amp; Cons of Each https://t.co/Nm97mmwObk https://t.co/Rq7G4bCpBY
JeanneAdams,RT @Annaleen: I remain disgusted that Google fired a prominent AI expert for contributing to academic research that highlights environmenta…
Nicol138,"RT @Kpop_Herald: .@BigHitEnt has canceled offline tickets for the label's year-end concert ""2021 NEW YEAR’S EVE LIVE"" due to strengthened s…"
imabratzd0ll,the most annoying shit is when sm1 asks for ur snap like from another social and then b like “send pictures” or “wh… https://t.co/KrmQm8rQIJ
KylieSEN50,"RT @RachelCharleneL: i say this every year, but my biggest source of income (other than my FT job editing for Bitch) is doing social media…"
miiriamrosaa,RT @xinyue_27: La?? Gente?? Que?? Tiene?? Vida?? Social?? Y?? Saca?? Notazas??
AngieSath,RT @AsraNomani: BREAKING NEWS: 'Anti-Racist' @fcpsnews @justicehswolves social studies teacher @MatthewSLevi harasses Black and Asian paren…
Breniverse,RT @ODanicaRockwood: I'm just gonna post some of my most underrated cosplay pics that don't get much love because I think they're artistic…
contactpersona1,The 5 Types of Social Media and Pros &amp; Cons of Each https://t.co/E4UdZrwsSC https://t.co/nGFlCuKRU0
mire_palenzuela,"RT @CEESCYL: Hoy os queremos invitar a reflexionar sobre la transición climática y nuestro rol en ella. https://t.co/jlCIQ7I1GT
 ¿Cómo inco…"
Carloscuecer,"RT @alejandromurat: Con el fin de promover y reconocer la historia nacional, instalamos el Consejo Oaxaqueño de Conmemoraciones de Hechos,…"
dash_radio,"RT @NakkiaGold: Excited to turn up with ya’ll tomorrow, Tuesday 12/8 @ 4PM PST on @dash_radio x @discord for SNOWSGIVING 2020 ➡️ https://t.…"
JessiferHill,RT @earringdealer: I’m officially at the point where I could be watching a old ass music video from like 2013 and think to myself “why tf t…
Mel_ndominguez,RT @_tweetsbysal: FRIENDS THAT UNDERSTAND YOUR ANTi-SOCIAL PHASE AND DONT TAKE THEM PERSONALLY &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;
IgnacioMaderoG,"RT @MexicoComoVamos: La edición 2020 del Índice de Progreso Social mostró que no hubo grandes avances en el progreso social del país, pues…"
maiaortola,la?? gent?? que?? no?? té?? vida?? social?? i?? treu?? unes??? ✨notes de merda✨?? https://t.co/OB66NK25Qj
sar_katz,"@Senatemajldr @SenRickScott @marcorubio @johnthune @JohnCornyn   Former Alabama senator dies of Covid, in his last… https://t.co/sjJahI9iwv"
jorroman,"RT @lucasllach: Alerta: en el mejor de los casos, más empleo público de baja productividad. Más probablemente, algún tipo de feudalismo. Al…"
TheRashooAwan,"RT @iz_uzzi: SOCIAL FRIENDS ARE TEMPORARY SOCIAL FRIENDS ARE TEMPORARY
SOCIAL FRIENDS ARE TEMPORARY SOCIAL FRIENDS ARE TEMPORARY
SOCIAL FRI…"
MadameGeology,@AIsakovic1 @PlanetDr this is actually a very good point to put into action. If someone is scheduling tons of zoom… https://t.co/EcAXwtFTbn
lanasalander,RT @literlandweb1: Nos ha llamado la atención esta carta publicada en un diario y escrita por un joven de 27 años. El valor de los abrazos…
mtzglzd,Después le recordé que el género es una construcción social y se le saltó más la vena.
mire_palenzuela,"RT @Calamocha_TV: La educadora social y experta en violencia de género, Marina Marroquí, continuará esta tarde con sus talleres de sensibil…"
Pordeciralgoweb,"📌 Repasamos anécdotas del Club Arbolito, Progreso y la obra social en La Teja, con José Luis Figueroa, amigo de Tab… https://t.co/c1krRE16IU"
Bretigne,"RT @miltimore79: Maybe forcing people into mass social isolation wasn't such a good idea. Just a thought. 

https://t.co/RFro7lAB9S"
BuzzfeedGDebord,"RT @BigMeanInternet: In addition to relief aid, the govt should promise us party bonuses for when social distancing is done."
shoonra1,"RT @catneylang: They arent social distancing, but the joestar radio episode has once again inspired me https://t.co/1zuMg97bzK"
shafoofoofoo,"then some more tests with them after the interview, even more stress WHILE WORKING FULL TIME AS A SOCIAL MEDIA ASSI… https://t.co/ka3N1xxcUn"
AriseBantu,@TaureanReign @NateParker @YouTube Looks good. But I can’t get out of my head that there is one group of people who… https://t.co/be1pyymD2h
Vellayeee,RT @_tweetsbysal: FRIENDS THAT UNDERSTAND YOUR ANTi-SOCIAL PHASE AND DONT TAKE THEM PERSONALLY &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;
mari_negreli,@laurahmerlin sei lá mas eu tenho uns sobre social issues/lgbt/dark academia tesao se quiser 🙃
CollegeGmPlan,@latsondheimer Not even close to what the sheriffs said. They advised people to social distance AND wear masks. Get… https://t.co/KPC5lcf74R
KaranRajani17,RT @itsNitikaSingh: Arpita khan seen in Dubai restaurant smashing plates just for fun and these hypocrites give us gyan over social media t…
MargaretMatzek,@brittney_adams_ @latodavia @realDonaldTrump Trump did nothing for months that’s why the American people are where… https://t.co/4U6ZCnTM3q
GabCaram,RT @MarkDice: Social Justice Warrior mall Santa makes kid cry by telling him no toy guns for Christmas https://t.co/u0lkM75lqC
PSiempre27,"RT @ReniecPeru: Equipo de profesionales de #RENIEC es parte de la 2.ª Campaña de Acción Social del Buque Tópico ""Raumis”, que gestiona @Mid…"
euphorix__2,"RT @BitiiezLuv: [INFO]📰

Oficialmente BigHit ha cancelado la venta de entradas para el concierto presencial de fin de año '2021 New Year's…"
pattyplainjane_,"RT @IBAEBLACKtv: @luvthispayne @LordeCali Nicki was the first one to donate to college kids via social media. But the difference was, she w…"
Sh1neka,"Check out ""Black Virtual Career Fair (BVCF) | Dec 2020"" https://t.co/h92yl44xEf @Eventbrite"
Mia55775644,"RT @treasure_bllbrd: 🚨SOCIAL 50 CHALLENGE🚨

Teumes! Let's maintain their position in the chart! Don't ignore this! 

Reply separately, TREA…"
Lareine2caldo1,"RT @WWEonFOX: Tomorrow, @TheWilderThings goes one-on-one with #SmackDown Women's Champion @SashaBanksWWE, at 4e/1p, across our social media…"
nercille,zaprzyjaźnij się z lesbian with social anxiety mówili będzie fajnie mówili https://t.co/MVt9N1MV1B
china24449003,"Tatiana Clouthier, la incondicional que acaba de llegar al equipo de AMLO donde solo piden lealtad a ciegas… https://t.co/3YjqbcVYE4"
J_Deucher,Aquela que bateu polícia 2 horas da manhã e mando todo mundo embora. Lá na cu do mundo — Social no sítio tu tá fala… https://t.co/ztb9OUKZ1d
RaiNews,#Fiorentina e #Genoa pareggiano 1-1 https://t.co/gcgkp87Rt0
greenbepdx,"RT @CaulfieldTim: Must read/share: ""Are the #Covid19 #Vaccines Safe?"" by @GidMK https://t.co/SAcMKDJ6Wc 

""...the science behind these phas…"
JuliCeli10,RT @_tweetsbysal: FRIENDS THAT UNDERSTAND YOUR ANTi-SOCIAL PHASE AND DONT TAKE THEM PERSONALLY &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;
lchko70,"RT @SaryOasis: Personas refiriéndose al resentimiento 1) como si fuese vergonzoso sentirlo; 2) como si surgiera desde el vacío.

El resenti…"
thegorn,@khankiso I thought Social Security was doing that already
juansilva01,"RT @AnotacionesRenL: ""Campaña del juego y el juguete no sexista"" impulsado por el gobierno votado por Vox
Reingeniería social donde gasta e…"
PayomkawichumPE,@ellle_em Since babies &amp; before we moved out to even cuddling together on me. Cats ARE social butterflies! https://t.co/k7ZAyTEBSt
kasinca,@JohnCornyn is concerned with social issues after kissing the fat ass of the most corrupt SOB to ever darken the WH… https://t.co/jsJzLKu8DY
Matt_M1999,RT @_tweetsbysal: FRIENDS THAT UNDERSTAND YOUR ANTi-SOCIAL PHASE AND DONT TAKE THEM PERSONALLY &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;
sadecoelho_,I love social media https://t.co/9gC50ayTcV
Apoka96,Cuando tenía vida social: https://t.co/pvUY2awkIb
MailOnline,RT @DailyMailUK: UK takes major leap in Covid-19 fightback as nation starts its biggest ever vaccine drive https://t.co/tT0VxRq2Le
MSF_USA,"RT @MSF_uk: Got a minute to tweet tomorrow in support of MSF? We need you help!

Tomorrow @MSF_access are encouraging everyone to create no…"
Natalie_Denny_,RT @BillingReeves: I get @PlanetLiverMag's vote for 'Ben and the Bug' to be included in the @RLB360 Time Capsule 2020. Winning this would h…
mooniz12,RT @WSJ: White House trade adviser Peter Navarro knowingly violated the law when he criticized Joe Biden earlier this year on television an…
drskyskull,RT @iSmashFizzle: somebody told me not to get the COVID 19 vaccine because that’s how the government gets your social security number. http…
KuttsRaj,"RT @cbkwgl: Just see how many people are on roads rioting on a working day, that too in the heart of London's tourist district. Guess it's…"
ccoo_serva,"RT @UnaiSordo: Hoy me entrevista @el_pais: 
👉Si el Gobierno se niega a corregir la reforma laboral, el conflicto con los sindicatos es un h…"
piaf54,"RT @2020Comms: +++++++LONELINESS+++++++

"" #Poll reveals scale of ‘home alone’ #Christmas in the UK this year. The figure has doubled, part…"
T_Barbs,RT @earringdealer: I’m officially at the point where I could be watching a old ass music video from like 2013 and think to myself “why tf t…
ewpk,"@BluePatriot3 @marthamaccallum @marklevinshow OMG, you really haven't paid attention if you think Twitter is unbias… https://t.co/8qxWCtLFiF"
Bjb58barb,RT @McRouvi: It’s no wonder #DoubleDealingDavid didn’t want to answer questions at a debate. Georgia needs real Senate representation  work…
JoshSpaugh,RT @earringdealer: I’m officially at the point where I could be watching a old ass music video from like 2013 and think to myself “why tf t…
radiosilvana,Scusa @topo_ligio ma mi conto I tweet? 😂  ma poi sei medico che fai diagnosi e suggerisci terapie sui social? https://t.co/BjMOKx7ZOz
thelivialives,@polaristhelight now i’m rambling but my friend actually said “you don’t have the right to be angry about it” which… https://t.co/ZC7qMHzfTL
OficomeCubaVzla,RT @AnaTeresitaGF: #ForoEmpresarial #FECuba2020 contará con numerosa representación de #empresas #cubanas y extranjeras. Por #Cuba particip…
NWKTC,"Follow us on Twitter!
@NWKTC

#socialmediamarketing 
#social 
#socialmedia 
#twitter @ Northwest Kansas Technical C… https://t.co/P0XYXW7s4a"
ladybesamel,"@MovieGrafMG The Artist, La La Land, Parasite, Marriage Story, The Lobster, Once Upon A Time In Hollywood, The Gran… https://t.co/hS33sYnHwa"
bruhpeefart,RT @earringdealer: I’m officially at the point where I could be watching a old ass music video from like 2013 and think to myself “why tf t…
mauritianclown,RT @_tweetsbysal: FRIENDS THAT UNDERSTAND YOUR ANTi-SOCIAL PHASE AND DONT TAKE THEM PERSONALLY &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;
drezzy_zo,RT @oficialharielmc: Respeitem seus pais e suas mães que tão trabalhando aí pra paga a bosta da internet que vcs só usa pra fala merda e pa…
chappell_ray,RT @BBCLookNorth: Witnesses sought by police after death of motorcyclist who was seriously injured in crash in Cullingworth earlier this ye…
Lenmcharristar,@biggabren @wisemanryder @Mother_Mela @FMPedmayo I think Bert believes that part of the taxes he paid were invested… https://t.co/LvTgqPlT9c
LilQueerShrew,"Off new years, Shame Cvoid will stop any IRL social plans i haveI"
JuneMor90204094,Disappointed at the ongoing#conspiracy#theories and lack of social responsibility . We are all fed up with COVID bu… https://t.co/1MEhtdLxDE
2damntrans,@gone_too_far__ @brynismyname @S0phie_S0pht @Indy_Sinead @HJoyceGender These are all (very) obviously contingent on social/cultural factors.
leonxluna,Que hoy sea un día de fiesta en Colombia me da un poco de ansiedad social porque a huevo hay que celebrar... Quiero… https://t.co/5bfIHzTaZh
UFigaro,"Former Alabama senator dies of Covid, in his last words warns, 'We messed up' https://t.co/sF3ym0Mjqa via @Yahoo"
ArdentAmerican,RT @RealCandaceO: I am allowed to fly directly next to perfect strangers on a packed plane with no social-distancing between strangers &amp; du…
skwirpy,"not my grandma pulling the ""what happens with me stays with me dont tell social services or theyll take you away uwu🥺🥺🥺"""
albamj01,RT @4inhoa: yo ni tengo vida social ni saco notazas
Hank62658742,RT @RealCandaceO: I am allowed to fly directly next to perfect strangers on a packed plane with no social-distancing between strangers &amp; du…
steppasteppa3,So y’all telling me a nigga that got prolly 30-40 M’s had to pay a pornstar 16k to fuck? Lmao I hate social media 🤦🏽‍♂️
LSKMSun,‘Urgent’ Stimulus Package Isn’t That Urgent. @senatemajldr https://t.co/3mPlcI7nbB via @Yahoo
Deb76807955,RT @RealCandaceO: I am allowed to fly directly next to perfect strangers on a packed plane with no social-distancing between strangers &amp; du…
BrodyBelle,"RT @RodLacroix: Child: Can you help me with my Social Studies?
Me: Sure, what's it about?
Child: Hammurabi's Code.
Me: Hammurabi?
Child: Ye…"
JamesNoLebron,@cheapcerveza Tumblr banning porn was clearly bad for business and social media. Twitter is one of the last places… https://t.co/v6kezkQDpQ
MrciaBa27095218,RT @ContaratoSenado: Conversei com o Metrópoles sobre nossas ações judiciais p/ barrar os retrocessos do governo federal nas pautas social…
laleydelabici,@fraaanciscooo Segunda Ola de Ineptos encabezada por Paris... la Primera Ola la Encabezó MaLñalich con el mismo pay… https://t.co/FjpxD4PylT
9Portao,RT @Joao_Almirante: Se você ainda não é adepto da inciativa @9Portao está perdendo tempo. É um grupo de apoio enorme para vascaínos maltrat…
kittycat814,"Sometimes I wanna share stuff from my domme life in my vanilla social media but then I remember... 

... they have no idea 

findom finsub"
mummynewton,"RT @Razorwireenergy: GIVEAWAY: On the 7th day of Christmas, Razorwire gave to me… 🎅 

A TUB OF WATERMELON ENERGY FORMULA!

To enter:
Follow…"
MarsiiiTrent,RT @dthang2x: Social media be having y’all fried
EiiinyWhiny,RT @earringdealer: I’m officially at the point where I could be watching a old ass music video from like 2013 and think to myself “why tf t…
MelaVerde1,"Apprezzabile il modo in cui #FrancescoOppini cerchi di ""abbellire"" i deliri Social di #AlbaParietti... 🤦🏼‍♀️

#GFVIP
#GFvip5"
madikita,RT @trees_fly: Me and my bud are organizing a social distance friendly memorial for our boi Jjong this next weekend at China Sqaure in Chic…
lobjars,"RT @LuchoXBolivia: No solo desmontaron el Estado Plurinacional y destrozaron el modelo económico social comunitario productivo, uno de los…"
LoladeO_,"RT @kikimordi: No. You will not do this.
This woman LEFT, REPORTED to the police, CRIED OUT ON SOCIAL MEDIA.
This is the result of the emot…"
GrandeFratello,Francesco risponde ad alcune critiche apparse sui social... #GFVIP https://t.co/7CtsgbGZsZ
anxietysack,RT @earringdealer: I’m officially at the point where I could be watching a old ass music video from like 2013 and think to myself “why tf t…
Anthony33039510,RT @LunarCRUSH: xDAI Stake 1-Day Social Engagement is up 533.9% with 660.3k engagements on @LunarCRUSH. View all $stake social metrics at h…
JohnKevvv,RT @_tweetsbysal: FRIENDS THAT UNDERSTAND YOUR ANTi-SOCIAL PHASE AND DONT TAKE THEM PERSONALLY &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;
MeWeFree_,I don't lie on social media. https://t.co/YIXRY0mcgm
